employee_id,score_q1,score_q2,score_q3,score_q4
1,56.9,96.9,66.7,86.6
2,73.6,61.1,74.2,97.1
3,73.8,51.7,53.9,99.3
4,86.8,94.2,88.1,79.5
5,62.0,50.7,99.0,80.2
6,64.1,61.9,87.8,77.6
7,64.2,96.8,66.7,83.6
8,59.0,93.7,51.3,77.3
9,87.3,83.9,98.9,55.8
10,78.5,55.5,97.3,91.5
11,84.8,72.0,51.1,74.1
12,98.0,93.0,92.8,56.3
13,52.1,70.3,78.1,63.8
14,74.8,86.4,92.9,62.5
15,50.3,72.3,80.3,51.2
16,89.3,86.8,50.9,62.5
17,59.8,74.3,96.3,52.5
18,86.7,85.0,55.0,88.9
19,61.7,60.1,57.4,59.7
20,97.2,92.2,86.5,97.8
21,97.5,80.1,82.3,61.0
22,59.8,78.2,55.3,58.6
23,78.4,91.4,83.0,89.1
24,52.8,68.8,87.0,75.6
25,65.6,98.5,58.4,70.1
26,77.1,74.2,57.0,85.6
27,58.9,77.7,85.7,87.1
28,76.1,64.4,72.8,76.1
29,60.3,88.7,81.2,75.6
30,86.8,89.8,74.3,70.4
31,70.5,99.4,55.2,81.7
32,65.2,54.5,80.8,57.5
33,68.1,61.1,83.3,88.6
34,60.7,53.6,97.9,60.7
35,74.2,65.2,79.9,87.6
36,70.9,90.2,67.9,90.9
37,91.8,81.8,58.0,81.5
38,99.6,73.1,79.1,87.5
39,95.2,65.7,62.7,69.0
40,50.6,82.8,79.0,97.1
41,92.3,79.0,62.7,65.9
42,53.1,69.2,97.5,90.5
43,80.5,76.2,54.0,66.2
44,66.5,59.0,51.0,93.7
45,75.7,92.5,77.9,80.4
46,94.6,69.5,59.8,76.9
47,78.8,90.1,85.7,87.6
48,52.9,70.2,55.6,77.3
49,63.9,73.4,94.4,50.9
50,84.2,78.5,96.5,61.4
51,59.8,61.6,79.3,93.3
52,82.8,53.0,64.1,91.4
53,96.3,94.3,96.4,77.6
54,69.2,55.6,92.2,73.1
55,81.6,81.3,75.5,69.8
56,96.6,87.5,88.7,78.3
57,98.6,75.6,93.5,52.9
58,64.4,87.8,81.3,61.7
59,78.8,92.8,52.6,76.2
60,88.0,58.7,95.0,50.5
61,94.0,88.2,78.2,70.9
62,92.3,63.6,95.9,68.0
63,88.0,76.7,69.1,90.8
64,52.7,55.4,85.3,53.3
65,55.0,55.7,70.9,75.9
66,57.1,50.2,71.8,64.7
67,60.7,51.9,98.5,74.1
68,84.3,59.5,70.1,67.9
69,70.8,79.5,62.5,93.7
70,64.8,53.3,72.1,87.9
71,75.3,81.2,91.7,65.7
72,80.9,93.1,56.5,92.4
73,66.3,96.6,76.9,51.4
74,69.1,94.9,97.3,75.8
75,63.5,85.1,62.4,65.2
76,60.7,84.8,52.7,85.7
77,71.2,89.6,50.7,71.9
78,79.9,76.9,83.6,78.6
79,84.5,95.6,74.5,92.6
80,96.9,62.2,64.1,51.7
81,91.1,84.8,71.9,80.2
82,99.0,73.8,96.7,89.3
83,51.8,89.3,78.8,73.5
84,65.7,68.6,91.2,86.7
85,97.7,62.1,78.8,84.3
86,85.6,82.9,90.8,88.2
87,88.4,97.5,93.6,65.1
88,55.4,69.7,64.5,95.7
89,78.4,86.9,82.1,62.9
90,69.4,82.5,52.8,53.2
91,96.5,62.1,84.4,56.5
92,52.4,93.5,75.9,63.9
93,84.0,58.0,63.1,69.4
94,62.5,59.4,65.1,81.1
95,74.3,72.0,82.9,71.1
96,51.5,66.2,99.0,92.7
97,65.7,61.5,69.2,58.8
98,92.0,56.9,68.3,63.2
99,77.6,53.4,66.2,78.0
100,55.8,63.1,83.6,74.9
101,57.8,95.2,59.2,77.6
102,91.6,71.1,96.2,61.6
103,85.8,78.1,91.0,59.3
104,69.4,50.3,68.8,59.0
105,95.4,66.4,74.8,70.9
106,60.7,53.1,90.8,65.7
107,80.6,53.8,82.1,94.7
108,86.3,67.7,59.6,69.0
109,61.1,75.9,57.9,72.6
110,93.0,62.1,78.2,66.8
111,89.4,63.3,66.9,74.2
112,78.1,65.8,84.8,80.8
113,70.4,80.1,59.8,55.9
114,91.1,73.4,88.7,78.6
115,53.5,68.1,69.3,96.6
116,78.9,90.2,56.9,89.0
117,70.9,51.0,89.4,90.6
118,67.9,99.0,73.4,59.2
119,77.1,64.4,75.1,65.9
120,76.4,75.8,91.2,87.4
121,81.0,85.3,80.6,70.2
122,54.4,99.1,56.1,70.5
123,86.0,89.9,62.1,71.2
124,79.1,52.4,78.5,99.9
125,88.6,51.2,88.9,82.5
126,83.2,85.9,77.8,87.0
127,67.2,96.8,61.6,86.3
128,94.4,61.9,87.4,73.4
129,92.8,77.9,70.2,70.1
130,81.1,81.9,84.2,83.5
131,54.8,54.1,62.0,68.4
132,92.1,73.4,64.5,51.6
133,99.7,55.4,94.4,56.3
134,59.6,51.8,63.9,69.3
135,97.8,68.7,90.9,80.3
136,98.5,54.8,67.0,90.8
137,83.5,99.7,98.0,80.7
138,73.9,83.9,62.2,57.0
139,73.6,62.6,95.1,83.4
140,63.5,51.5,89.7,65.1
141,92.9,56.9,93.0,69.1
142,87.7,72.5,62.0,76.4
143,74.0,98.0,54.6,78.5
144,54.2,66.3,69.9,95.0
145,83.3,61.1,95.8,99.4
146,50.8,71.4,52.6,56.0
147,68.5,78.6,67.2,58.0
148,55.7,83.6,99.6,90.8
149,84.3,76.2,82.6,72.2
150,62.0,58.7,98.4,93.2
151,67.5,62.6,63.7,71.7
152,58.2,68.4,86.9,98.8
153,85.5,84.1,60.5,63.8
154,89.1,66.2,58.1,74.2
155,50.0,95.6,85.0,60.1
156,95.8,81.8,87.5,67.0
157,78.4,58.9,71.7,90.1
158,59.0,67.9,95.3,79.6
159,58.0,90.1,58.8,77.5
160,71.8,60.0,77.5,81.4
161,53.7,84.2,51.1,92.1
162,98.7,89.8,84.0,84.0
163,74.7,55.4,78.9,92.0
164,56.4,86.7,73.6,89.5
165,99.0,66.0,55.4,69.4
166,98.4,87.3,67.4,73.3
167,74.4,80.4,75.5,59.9
168,67.9,80.1,89.6,77.4
169,93.4,90.2,72.1,76.5
170,86.4,88.3,71.1,64.9
171,56.4,83.2,57.2,69.3
172,72.0,62.7,58.0,77.7
